CO_MUNICIPIO_IES,no_curso_aj_2,n
1100114,biologia,1
1100114,filosofia,1
1100114,historia,1
1100114,matematica,3
1100114,pedagogia,1
1200401,biologia,5
1200401,educacaofisica,2
1200401,filosofia,1
1200401,historia,4
1200401,linguaportuguesa,8
1200401,matematica,5
1200401,pedagogia,2
1200401,quimica,2
1302603,artes,2
1302603,biologia,13
1302603,cienciasnaturais,3
1302603,educacaofisica,4
1302603,fisica,2
1302603,geografia,1
1302603,historia,11
1302603,linguaportuguesa,13
1302603,matematica,10
1302603,pedagogia,1
1302603,quimica,1
1400100,artes,1
1400100,biologia,3
1400100,educacaofisica,1
1400100,historia,2
1400100,linguaportuguesa,3
1400100,matematica,2
1400100,quimica,1
1501402,biologia,2
1501402,computacao,8
1501402,linguaportuguesa,8
1501402,pedagogia,8
1504208,cienciasnaturais,1
1504208,fisica,3
1504208,geografia,2
1504208,historia,3
1504208,linguaportuguesa,5
1504208,matematica,2
1504208,pedagogia,2
1600303,biologia,1
1600303,fisica,2
1600303,informatica,2
1600303,linguaportuguesa,4
1600303,matematica,5
1600303,quimica,2
1702109,biologia,4
1702109,fisica,1
1702109,historia,1
1702109,matematica,2
1702109,quimica,1
1721000,biologia,1
1721000,matematica,3
1721000,teatro,1
2111300,artes,3
2111300,biologia,22
2111300,cienciasdanatureza,2
2111300,cienciashumanashistoria,1
2111300,cienciasnaturaisfisica,1
2111300,cienciasnaturaisquimica,1
2111300,educacaofisica,7
2111300,filosofia,1
2111300,fisica,15
2111300,geografia,3
2111300,historia,12
2111300,linguaportuguesa,18
2111300,matematica,31
2111300,pedagogia,25
2111300,quimica,14
2111300,sociologia,1
2111300,teatro,2
2207702,biologia,10
2207702,matematica,22
2207702,pedagogia,4
2211001,biologia,24
2211001,fisica,15
2211001,geografia,3
2211001,historia,27
2211001,linguaportuguesa,39
2211001,matematica,46
2211001,pedagogia,18
2211001,quimica,6
2211001,sociologia,3
2304400,artes,15
2304400,biologia,41
2304400,danca,2
2304400,educacaofisica,9
2304400,filosofia,13
2304400,fisica,76
2304400,geografia,27
2304400,historia,40
2304400,linguaportuguesa,159
2304400,matematica,134
2304400,musica,23
2304400,pedagogia,70
2304400,quimica,63
2304400,sociologia,20
2304400,teatro,8
2307304,biologia,1
2307304,filosofia,5
2307304,fisica,1
2307304,interdisciplinaremcienciasnaturaisematematica,3
2307304,matematica,1
2307304,musica,4
2307304,pedagogia,2
2307304,quimica,1
2311603,biologia,7
2311603,linguaportuguesa,2
2311603,matematica,5
2311603,quimica,4
2408003,biologia,16
2408003,cienciasdareligiao,1
2408003,filosofia,7
2408003,fisica,3
2408003,geografia,6
2408003,historia,7
2408003,linguaportuguesa,35
2408003,matematica,12
2408003,musica,4
2408003,pedagogia,12
2408003,quimica,1
2408003,sociologia,3
2408102,artes,14
2408102,biologia,43
2408102,educacaofisica,22
2408102,filosofia,5
2408102,fisica,13
2408102,geografia,9
2408102,historia,38
2408102,informatica,2
2408102,linguaportuguesa,55
2408102,matematica,34
2408102,pedagogia,42
2408102,quimica,12
2408102,sociologia,6
2408102,teatro,8
2504009,biologia,39
2504009,educacaofisica,7
2504009,filosofia,1
2504009,fisica,11
2504009,geografia,3
2504009,historia,30
2504009,linguaportuguesa,50
2504009,matematica,47
2504009,pedagogia,12
2504009,quimica,3
2507507,artes,7
2507507,biologia,23
2507507,cienciadacomputacao,23
2507507,cienciasagrarias,2
2507507,danca,2
2507507,educacaofisica,13
2507507,filosofia,2
2507507,fisica,6
2507507,geografia,4
2507507,historia,30
2507507,linguaportuguesa,40
2507507,matematica,31
2507507,pedagogia,14
2507507,quimica,8
2507507,sociologia,4
2507507,teatro,3
2604106,historia,1
2606002,linguaportuguesa,11
2606002,pedagogia,1
2611101,artes,3
2611101,computacao,7
2611101,filosofia,1
2611101,fisica,9
2611101,geografia,1
2611101,historia,1
2611101,matematica,4
2611101,musica,2
2611101,quimica,6
2611606,artes,9
2611606,biologia,80
2611606,cienciadacomputacao,6
2611606,computacao,32
2611606,educacaofisica,23
2611606,expressaografica,4
2611606,filosofia,9
2611606,fisica,39
2611606,geografia,16
2611606,historia,71
2611606,linguaportuguesa,104
2611606,matematica,139
2611606,pedagogia,66
2611606,quimica,37
2611606,sociologia,9
2611606,teatro,3
2700300,biologia,9
2700300,fisica,2
2700300,geografia,2
2700300,historia,6
2700300,linguaeliteraturasdalinguainglesa,3
2700300,linguaportuguesa,8
2700300,matematica,3
2700300,pedagogia,3
2704302,biologia,26
2704302,educacaofisica,16
2704302,filosofia,3
2704302,fisica,3
2704302,geografia,2
2704302,historia,11
2704302,linguaportuguesa,29
2704302,matematica,29
2704302,pedagogia,16
2704302,quimica,15
2704302,sociologia,2
2704302,teatro,1
2800308,fisica,2
2800308,matematica,1
2800308,quimica,1
2806701,artes,3
2806701,biologia,34
2806701,danca,1
2806701,educacaofisica,8
2806701,filosofia,7
2806701,fisica,5
2806701,geografia,8
2806701,historia,35
2806701,linguaportuguesa,50
2806701,matematica,37
2806701,pedagogia,22
2806701,quimica,8
2903201,biologia,3
2903201,geografia,1
2903201,historia,1
2903201,matematica,4
2909802,artes,1
2909802,biologia,4
2909802,fisica,1
2909802,linguaportuguesa,1
2909802,matematica,2
2909802,musicamusicapopularbrasileira,2
2909802,pedagogia,1
2909802,quimica,1
2910800,biologia,16
2910800,educacaofisica,3
2910800,filosofia,1
2910800,fisica,1
2910800,historia,8
2910800,linguaportuguesa,15
2910800,matematica,10
2910800,musica,3
2910800,pedagogia,9
2910800,quimica,6
2913606,biologia,11
2913606,educacaofisica,3
2913606,filosofia,1
2913606,fisica,1
2913606,geografia,2
2913606,historia,9
2913606,linguaportuguesa,8
2913606,matematica,6
2913606,pedagogia,2
2913606,quimica,1
2913606,sociologia,2
2914802,artes,2
2914802,historia,1
2914802,interdisciplinaremcienciasdanaturezaesuastecnologias,1
2914802,interdisciplinaremlinguagensesuastecnologias,3
2914802,sociologia,3
2927408,biologia,11
2927408,cienciasdacomputacao,1
2927408,computacao,2
2927408,educacaofisica,5
2927408,filosofia,2
2927408,fisica,4
2927408,geografia,3
2927408,historia,17
2927408,linguaportuguesa,26
2927408,matematica,36
2927408,pedagogia,18
2927408,quimica,14
2933307,biologia,8
2933307,educacaofisica,1
2933307,filosofia,2
2933307,fisica,3
2933307,geografia,3
2933307,historia,9
2933307,linguaportuguesa,8
2933307,matematica,10
2933307,pedagogia,7
2933307,quimica,2
2933307,sociologia,4
2933307,teatro,1
3101607,biologia,1
3101607,geografia,1
3101607,historia,8
3101607,matematica,4
3101607,pedagogia,2
3101607,quimica,1
3101607,sociologia,3
3106200,artes,11
3106200,biologia,40
3106200,educacaofisica,25
3106200,fisica,14
3106200,geografia,9
3106200,historia,28
3106200,linguaportuguesa,108
3106200,matematica,27
3106200,pedagogia,62
3106200,quimica,7
3106200,sociologia,1
3121605,geografia,1
3121605,historia,2
3121605,matematica,4
3132404,biologia,8
3132404,matematica,7
3136702,artes,9
3136702,biologia,2
3136702,fisica,2
3136702,geografia,2
3136702,linguaportuguesa,9
3136702,matematica,5
3136702,pedagogia,14
3136702,quimica,3
3138203,biologia,5
3138203,filosofia,6
3138203,fisica,2
3138203,linguaportuguesa,3
3138203,matematica,3
3138203,pedagogia,2
3138203,quimica,1
3143302,artes,4
3143302,biologia,11
3143302,educacaofisica,2
3143302,filosofia,1
3143302,fisica,4
3143302,historia,3
3143302,linguaportuguesa,11
3143302,matematica,6
3143302,musica,1
3143302,pedagogia,12
3143302,teatro,1
3146107,artes,2
3146107,biologia,5
3146107,educacaofisica,1
3146107,fisica,2
3146107,historia,7
3146107,linguaportuguesa,2
3146107,matematica,4
3146107,musica,5
3146107,pedagogia,1
3146107,quimica,1
3148004,educacaofisica,1
3152501,biologia,2
3152501,historia,1
3152501,matematica,1
3162500,biologia,7
3162500,educacaofisica,4
3162500,filosofia,1
3162500,fisica,2
3162500,geografia,3
3162500,historia,7
3162500,linguaportuguesa,9
3162500,matematica,4
3162500,pedagogia,11
3162500,quimica,1
3162500,teatro,1
3170107,biologia,9
3170107,computacao,1
3170107,geografia,1
3170107,historia,6
3170107,linguaportuguesa,3
3170107,matematica,4
3170206,biologia,14
3170206,educacaofisica,6
3170206,fisica,6
3170206,linguaportuguesa,21
3170206,pedagogia,18
3170206,quimica,2
3171303,biologia,19
3171303,educacaoinfantil,1
3171303,fisica,1
3171303,linguaportuguesa,12
3171303,matematica,4
3171303,pedagogia,7
3171303,quimica,3
3205309,artes,16
3205309,biologia,23
3205309,cienciasdanatureza,2
3205309,educacaofisica,15
3205309,filosofia,3
3205309,fisica,10
3205309,geografia,6
3205309,historia,22
3205309,linguaportuguesa,33
3205309,matematica,16
3205309,musica,3
3205309,pedagogia,14
3205309,quimica,6
3205309,sociologia,4
3301009,biologia,12
3301009,educacaofisica,5
3301009,fisica,6
3301009,geografia,1
3301009,historia,7
3301009,linguaportuguesa,2
3301009,matematica,6
3301009,musicaeducacaomusical,1
3301009,pedagogia,1
3301009,quimica,9
3303302,biologia,17
3303302,cienciasnaturais,1
3303302,cinemaeaudiovisual,9
3303302,computacao,1
3303302,educacaofisica,20
3303302,filosofia,7
3303302,fisica,12
3303302,geografia,11
3303302,historia,73
3303302,linguaportuguesa,45
3303302,matematica,24
3303302,pedagogia,39
3303302,quimica,11
3303302,sociologia,6
3304557,artes,11
3304557,biologia,52
3304557,cienciasdanatureza,7
3304557,computacao,1
3304557,danca,2
3304557,educacaoartisticadesenho,4
3304557,educacaofisica,18
3304557,filosofia,10
3304557,fisica,23
3304557,geografia,12
3304557,historia,71
3304557,linguaportuguesa,76
3304557,matematica,44
3304557,pedagogia,44
3304557,quimica,18
3304557,sociologia,15
3305554,cienciasagricolas,1
3305554,geografia,5
3305554,historia,9
3305554,linguaportuguesa,17
3305554,pedagogia,8
3541406,pedagogia,1
3547809,interdisciplinaremcienciashumanasbili,34
3547809,interdisciplinaremcienciasnaturaiseexatas,59
3548906,biologia,21
3548906,educacaoespecial,2
3548906,educacaofisica,6
3548906,fisica,10
3548906,geografia,6
3548906,linguaportuguesa,5
3548906,matematica,11
3548906,musica,3
3548906,pedagogia,28
3548906,quimica,18
3550308,biologia,28
3550308,ciencias,41
3550308,cienciasnaturaishabilitacaoemfisica,1
3550308,cienciasnaturaishabilitacaoemquimica,1
3550308,fisica,21
3550308,geografia,11
3550308,linguaportuguesa,56
3550308,matematica,54
3550308,pedagogia,50
3550308,quimica,43
4106902,biologia,3
4106902,fisica,5
4106902,geografia,1
4106902,historia,2
4106902,linguaportuguesa,16
4106902,matematica,8
4106902,pedagogia,12
4106902,quimica,2
4108304,biologia,2
4108304,geografia,1
4108304,historia,3
4108304,matematica,4
4108304,quimica,2
4109401,biologia,1
4109401,filosofia,1
4109401,historia,1
4109401,matematica,3
4109401,pedagogia,1
4111803,historia,1
4111803,linguaportuguesa,4
4111803,matematica,4
4111803,pedagogia,1
4113700,biologia,3
4113700,fisica,4
4113700,geografia,3
4113700,historia,8
4113700,linguaportuguesa,4
4113700,matematica,4
4113700,pedagogia,6
4113700,quimica,2
4113700,sociologia,4
4115200,artes,6
4115200,biologia,4
4115200,filosofia,2
4115200,fisica,1
4115200,geografia,1
4115200,historia,4
4115200,linguaportuguesa,5
4115200,matematica,5
4115200,pedagogia,4
4115200,sociologia,2
4118402,artes,14
4118402,danca,1
4118402,historia,2
4118402,linguaportuguesa,4
4118402,matematica,6
4118402,musica,3
4118402,teatro,2
4202404,matematica,3
4202404,pedagogia,4
4202404,quimica,1
4204202,biologia,3
4204202,filosofia,3
4204202,geografia,1
4204202,historia,2
4204202,linguaportuguesa,3
4204202,matematica,5
4204202,pedagogia,3
4204202,quimica,1
4204202,sociologia,3
4205407,artes,4
4205407,biologia,6
4205407,educacaofisica,5
4205407,filosofia,4
4205407,fisica,7
4205407,geografia,2
4205407,historia,2
4205407,matematica,21
4205407,musica,3
4205407,pedagogia,14
4205407,quimica,7
4205407,teatro,4
4301602,cienciasdanaturezaematematica,1
4301602,linguaportuguesa,5
4301602,matematica,2
4310207,linguaportuguesa,1
4314407,artes,6
4314407,biologia,1
4314407,computacao,1
4314407,educacaofisica,1
4314407,filosofia,1
4314407,fisica,2
4314407,geografia,3
4314407,historia,4
4314407,linguaportuguesa,13
4314407,matematica,6
4314407,quimica,4
4314407,sociologia,6
4314902,artes,5
4314902,biologia,4
4314902,danca,1
4314902,educacaodocampocienciasdanatureza,1
4314902,filosofia,2
4314902,fisica,6
4314902,geografia,1
4314902,historia,1
4314902,linguaportuguesa,15
4314902,matematica,6
4314902,pedagogia,9
4314902,quimica,1
4314902,sociologia,5
4315602,artes,1
4315602,biologia,2
4315602,fisica,1
4315602,geografia,1
4315602,historia,2
4315602,linguaportuguesa,4
4315602,matematica,2
4315602,pedagogia,1
4315602,quimica,1
4316907,artes,3
4316907,danca,1
4316907,educacaoespecial,1
4316907,educacaofisica,11
4316907,filosofia,2
4316907,fisica,1
4316907,geografia,1
4316907,historia,8
4316907,linguaportuguesa,15
4316907,matematica,8
4316907,pedagogia,3
4316907,quimica,4
4316907,sociologia,4
5002704,biologia,4
5002704,educacaofisica,1
5002704,filosofia,1
5002704,fisica,1
5002704,geografia,1
5002704,historia,3
5002704,linguaportuguesa,9
5002704,matematica,4
5002704,pedagogia,5
5002704,quimica,1
5003702,biologia,6
5003702,quimica,4
5102504,linguaportuguesa,2
5102504,matematica,2
5103403,biologia,6
5103403,filosofia,1
5103403,fisica,3
5103403,geografia,1
5103403,historia,2
5103403,linguaportuguesa,8
5103403,matematica,8
5103403,pedagogia,1
5103403,quimica,2
5205109,biologia,2
5205109,fisica,2
5205109,historia,1
5205109,linguaportuguesa,1
5205109,matematica,2
5205109,pedagogia,3
5208707,artes,7
5208707,biologia,26
5208707,danca,1
5208707,fisica,16
5208707,geografia,5
5208707,historia,28
5208707,linguaportuguesa,35
5208707,matematica,10
5208707,pedagogia,16
5208707,quimica,17
5208707,sociologia,3
5208707,teatro,2
5211909,fisica,1
5211909,geografia,1
5211909,historia,2
5211909,linguaportuguesa,3
5211909,matematica,3
5300108,biologia,3
5300108,educacaofisica,2
5300108,fisica,7
5300108,geografia,8
5300108,linguaportuguesa,17
5300108,matematica,7
5300108,pedagogia,1
5300108,quimica,8
,pedagogia,1
